ISBN,Title,Author,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
9781401235413,book not found,,,,, 9781401235413,2012-5-15,"'13 - 17 years old', 'DC Comics'",176
9780140621297,book not found,,,,,,,,
9781283052948,book not found,,,,, 9781283052948,,'US',
9780307271464,book not found,,,,,,,,
9780748109296,Buried,Mark Billingham,eBook,,$12.99, 9780748109296,2008-9-4,"'Little, Brown Book Group', 'Digital original'",528
9780307414151,book not found,,,,,,,,
9781405921527,The Falcon of Sparta,Conn Iggulden,eBook,,$15.99, 9781405921527,,'Penguin Books Ltd',
9780755375608,The Life,Martina Cole,eBook,,$11.99, 9780755375608,,'Digital original',
9780755397860,The Last of Days,Paul Doherty,eBook,,$11.99, 9780755397860,,'Digital original',
9780241335444,Turtles All the Way Down,John Green,eBook,,$9.99, 9780241335444,,"""Penguin Random House Children's UK""",
9781250166548,Edgedancer,Brandon Sanderson,Hardcover,,$21.25, 9781250166548,2017-10-17,"""St Martin's Press"", '18 x 12 x 2.5'",272
9780748133918,The Winter Crown,Elizabeth Chadwick,eBook,,$19.99, 9780748133918,2014-9-11,"'Little, Brown Book Group', 'Digital original'",496
9781405928557,Out of the Dark,Gregg Hurwitz,eBook,,$15.99, 9781405928557,2019-2-7,'Penguin Books Ltd',400
9781302013677,Guardians Of The Galaxy Vol. 1,Brian Michael Bendis,eBook,$16.12,$12.99, 9781302013677,,,
9780544973978,book not found,,,,, 9780544973978,2018-7-10,"'HOUGHTON MIFFLIN              ', '24.13 x 16.51 x 4.45'",544
9781408806197,Working with Emotional Intelligence,Daniel Goleman,eBook,$19.99,$17.99, 9781408806197,,'GB',
9780748131327,Steve Jobs,Walter Isaacson,eBook,,$13.99, 9780748131327,,'Digital original',
9780141966649,Artemis Fowl,Eoin Colfer,eBook,,$9.99, 9780141966649,2010-6-3,'9 - 12 years old',320
9780141905822,A Month in the Country,Penelope Fitzgerald,eBook,,$15.99, 9780141905822,2011-12-1,'Penguin Books Ltd',112
9780356507224,Marked,Benedict Jacka,eBook,,$11.99, 9780356507224,2018-7-3,"'Little, Brown Book Group', 'Digital original'",384
9780544369979,Cattle Kingdom,Christopher Knowlton,eBook,$37.39,$29.99, 9780544369979,,'1',
9781409021551,The Confession,John Grisham,eBook,,$15.99, 9781409021551,,'Random House',
9780230713741,book not found,,,,, 9780230713741,,,
9780007350865,A Christmas Carol,Charles Dickens,Paperback,,$8.25, 9780007350865,2010-4-1,"'HarperCollins Publishers', '11.1 x 17.4 x 0.9'",144
9780994054401,book not found,,,,, 9780994054401,2016-3-2,'1',
9780241304297,Maigret and the Wine Merchant,Georges Simenon,eBook,,$15.99, 9780241304297,2019-9-5,'Penguin Books Ltd',160
9780753555200,Zero to One,Peter Thiel,Paperback,$24.99,$21.75, 9780753555200,,"'GB', '20 x 13 x 1'",
9781405525671,Christmas at Rosie Hopkins' Sweetshop,Jenny Colgan,eBook,,$12.99, 9781405525671,2013-11-7,"'Little, Brown Book Group', 'Digital original'",432
9781405937528,The Salt Path,Raynor Winn,eBook,,$14.99, 9781405937528,,'Penguin Books Ltd',
9780141937342,The Moon's a Balloon,David Niven,eBook,,$15.99, 9780141937342,,'Penguin Books Ltd',
9780297867319,"Where'd You Go, Bernadette",Maria Semple,eBook,,$11.99, 9780297867319,,'Digital original',
9781101604045,The Diet Cure,Julia Ross,eBook,$22.29,$17.99, 9781101604045,,,
9780749954215,Glory in Death,J.D. Robb,Paperback,$22.99,$20.40, 9780749954215,2011-1-1,"'Little Brown', '1'",416
9781405928281,Anything You Do Say,Gillian McAllister,eBook,,$15.99, 9781405928281,,'Penguin Books Ltd',
9781101543771,book not found,,,,, 9781101543771,,,
9780748113378,The Year Of The Flood,Margaret Atwood,eBook,,$12.99, 9780748113378,2010-7-27,"'Little, Brown Book Group'",432
9780141967448,The Secret Pilgrim,John le Carré,eBook,,$15.99, 9780141967448,2011-5-26,'Penguin Books Ltd',416
9780141900834,Queen Camilla,Sue Townsend,eBook,,$15.99, 9780141900834,,'Penguin Books Ltd',
9780307982773,Big Frank's Fire Truck,Leslie McGuire,eBook,$8.79,$7.99, 9780307982773,2014-8-27,"""Random House Children's Books""",
9780307430861,book not found,,,,,,,,
9781407024776,Secrets Of The Baby Whisperer,Tracy Hogg,eBook,,$19.99, 9781407024776,,'Ebury Publishing',
9780748129089,Dark Lover,J. R. Ward,eBook,,$11.99, 9780748129089,2011-2-3,"'Little, Brown Book Group', 'Digital original'",480
9780785178262,X-Men,Chris Claremont,eBook,$19.06,$15.99, 9780785178262,,,
9780141911113,The Big Sleep,Raymond Chandler,eBook,,$15.99, 9780141911113,2005-7-7,'0 - 2 years old',224
9780718186494,Darien,C. F. Iggulden,eBook,,$15.99, 9780718186494,2017-7-13,'Penguin Books Ltd',352
9780141930015,The Help,Kathryn Stockett,eBook,,$15.99, 9780141930015,,'Penguin Books Ltd',
9780755387359,Violets are Blue,James Patterson,eBook,,$12.99, 9780755387359,2011-6-23,"'Headline', 'Digital original'",335
9780743499965,Star Trek,Vonda N. McIntyre,eBook,,$23.99, 9780743499965,2004-10-26,'Pocket Books/Star Trek',464
9780356512280,The Last Astronaut,David Wellington,eBook,,$12.99, 9780356512280,,"'Little, Brown Book Group'",
9781306358422,book not found,,,,, 9781306358422,,,
9780857077295,Missing Me,Sophie McKenzie,eBook,,$10.99, 9780857077295,,'Simon & Schuster UK',
9780141923505,East of Eden,David Wyatt,eBook,,$15.99, 9780141923505,2000-9-7,'Penguin Books Ltd',640
9780241976579,Emotional Agility,Susan David,eBook,,$15.99, 9780241976579,,'Penguin Books Ltd',
9781250185464,Exit Strategy,Martha Wells,eBook,$20.53,$16.99, 9781250185464,2018-10-2,'4',
9781306072465,book not found,,,,, 9781306072465,,'US',
9780755352449,The Island,Victoria Hislop,eBook,,$11.99, 9780755352449,,'Digital original',
9780393347777,Naked Statistics,Don't wait for delivery!,Paperback,$29.95,$22.25, 9780393347777,,"'US', '27.9 x 17 x 7.3'",
9780141350684,book not found,,,,,,,,
9780230767539,book not found,,,,,,,,
9780395657867,book not found,,,,, 9780395657867,,"'US', '0.09'",
9780755352012,An Offer You Can't Refuse,Jill Mansell,eBook,,$12.99, 9780755352012,,'Digital original',
9780307796189,book not found,,,,, 9780307796189,2011-6-28,'2',
9781370483051,Mist's Edge,T.A. White,eBook,,$5.48, 9781370483051,,,
9780753553084,The 7 Second CV,James Reed,eBook,,$18.99, 9780753553084,,'Ebury Publishing',
9780141388786,book not found,,,,,,,,
9780297860242,Sharp Objects,Gillian Flynn,eBook,,$11.99, 9780297860242,,'Digital original',
9781306020725,book not found,,,,, 9781306020725,,'US',
9780297868385,The Hairy Bikers' Big Book of Baking,Hairy Bikers,eBook,,$19.99, 9780297868385,,'Digital original',
9781370211678,Spanish for Geniuses,Andromeda Jones,eBook,,$0.00, 9781370211678,,,
9780297855873,Dark Places,,eBook,$12.99,$11.99, 9780297855873,,'Digital original',
9780857388926,The Outcast Dead,Elly Griffiths,eBook,,$11.99, 9780857388926,2014-1-30,"'Quercus', '1'",400
9781105795985,book not found,,,,, 9781105795985,,,
9781405935616,book not found,,,,, 9781405935616,,'Penguin Books Ltd',
9781405938259,"Once, Twice, Three Times an Aisling",Emer McLysaght,eBook,,$15.99, 9781405938259,2019-9-19,'Penguin Books Ltd',416
9780141924434,Revenge of the Middle-Aged Woman,Elizabeth Buchan,eBook,,$15.99, 9780141924434,,'Penguin Books Ltd',
9780141909776,This Charming Man,Marian Keyes,eBook,,$15.99, 9780141909776,,'Penguin Books Ltd',
9780141397030,As I Walked Out One Midsummer Morning,Laurie Lee,eBook,,$14.99, 9780141397030,2014-6-26,'0 - 2 years old',224
9780230763043,book not found,,,,,,,,
9780241958735,Kingdom of Fear,Hunter S Thompson,eBook,,$15.99, 9780241958735,2011-11-24,'Penguin Books Ltd',384
9780755396511,The Other Daughter,Lisa Gardner,Paperback,$24.99,$21.75, 9780755396511,,"'GB', '2.6 x 13 x 19.8'",
9780141914527,Letters from a Stoic,Seneca,eBook,,$10.99, 9780141914527,,'Penguin Books Ltd',
9780748112586,The Way Of Shadows,Brent Weeks,eBook,,$11.99, 9780748112586,2009-6-11,"'Little, Brown Book Group', 'Digital original'",688
9780768442830,book not found,,,,, 9780768442830,,"'US', '0.32'",
9780230761223,book not found,,,,,,,,
9780575088238,The Republic of Thieves,Scott Lynch,eBook,,$12.99, 9780575088238,2013-10-10,"'Orion', 'Digital original'",880
9781408851234,The Sixth Extinction,Elizabeth Kolbert,eBook,$15.99,$13.99, 9781408851234,,'GB',
9780755387144,Four Blind Mice,James Patterson,eBook,,$12.99, 9780755387144,2011-6-23,"'Headline', 'Digital original'",330
9780399182112,Wanderers,Chuck Wendig,eBook,$23.99,$19.99, 9780399182112,2019-7-2,'1',
9780316262330,book not found,,,,, 9780316262330,,'Digital original',
9780330513142,book not found,,,,, 9780330513142,,,
9780330473033,book not found,,,,, 9780330473033,,,
9780141960654,The Templar's Code,Chloe M. Palov,eBook,,$15.99, 9780141960654,2010-10-28,'Penguin Books Ltd',528
9780061981746,A Lion Among Men,Gregory Maguire,eBook,,$10.99, 9780061981746,2009-10-6,'HarperCollins',400
9780749020552,Peace Comes to Honeyfield,Anna Jacobs,Paperback,,$25.50, 9780749020552,2019-5-1,"'Faber Factory', '2.2 x 12.9 x 19.7'",352
9781405529631,The Secret History,Donna Tartt,eBook,,$11.99, 9781405529631,,'Digital original',
9780748121762,Glory in Death,J.D. Robb,eBook,,$11.99, 9780748121762,2010-10-7,"'Little, Brown Book Group', 'Digital original'",336
9780141190693,Vile Bodies,Evelyn Waugh,eBook,,$15.99, 9780141190693,2012-5-31,'Penguin Books Ltd',256
9781407056982,book not found,,,,, 9781407056982,,,
9780241979723,The Infinite Game,Simon Sinek,eBook,,$19.99, 9780241979723,,'Penguin Books Ltd',
9780857868770,The Humans,Matt Haig,eBook,$21.08,$16.99, 9780857868770,,'1',
9781408841068,Close Call,Stella Rimington,eBook,$17.58,$14.99, 9781408841068,2014-7-3,"'Bloomsbury Publishing', '8'",352
9780785160069,book not found,,,,, 9780785160069,2013-1-22,"'12 - 14 years old', 'Marvel Comics'",192
9781365014925,book not found,,,,, 9781365014925,,,
9781448151523,Shadow Hunter,Geoffrey Archer,eBook,,$15.99, 9781448151523,,'Random House',
9781407070711,The Jeeves Omnibus - Vol 1,P G Wodehouse,eBook,,$17.99, 9781407070711,2012-2-29,"'Random House', 'Combined volume'",592
9781407010953,Kill Your Friends,John Niven,eBook,,$15.99, 9781407010953,,'Random House',
9780857056443,book not found,,,,, 9780857056443,2017-9-7,"'Quercus', 'Digital original'",448
9781407070216,Tripwire,Lee Child,eBook,,$16.99, 9781407070216,2008-9-4,'Transworld',560
9781405512176,Fred & Rose,Howard Sounes,eBook,,$11.99, 9781405512176,,'Digital original',
9780857202970,The Night Stalker,Chris Carter,Paperback,$22.99,$20.40, 9780857202970,,"'GB', '0.32'",
9780544759213,Glow,W. H. Beck,eBook,,$11.99, 9780544759213,,'1',
9780141906430,Regeneration,Pat Barker,eBook,,$15.99, 9780141906430,2008-5-1,'Penguin Books Ltd',256
9780544245587,book not found,,,,, 9780544245587,,,
9781407096186,The Devil's Alternative,Frederick Forsyth,eBook,,$15.99, 9781407096186,,'Random House',
9780755353453,The Gladiator (Eagles of the Empire 9),Simon Scarrow,eBook,,$12.99, 9780755353453,2009-8-6,"'Headline', 'Digital original'",320
9781407070544,Friends In High Places,Donna Leon,eBook,,$15.99, 9781407070544,2010-4-13,'Random House',336
9781407071879,Cinderella Sister,Dilly Court,eBook,,$15.99, 9781407071879,,'Random House',
9781407086071,The Leopard,Jo Nesbo,eBook,,$15.99, 9781407086071,2011-1-20,'Random House',752
9780141342610,Magnus Chase and the Ship of the Dead (Book 3),Rick Riordan,eBook,,$9.99, 9780141342610,2017-10-3,"'9 - 12 years old', '3'",528
9780553897050,A Christmas Carol,Charles Dickens,eBook,$8.55,$7.99, 9780553897050,,,
9780141952123,The Winter King,Bernard Cornwell,eBook,,$15.99, 9780141952123,2007-11-1,'Penguin Books Ltd',512
9780241983133,Grand Union,Zadie Smith,eBook,,$15.99, 9780241983133,,'Penguin Books Ltd',
9781405936019,The Whisper Man,Alex North,eBook,,$15.99, 9781405936019,,'Penguin Books Ltd',
9780755387199,"Mary, Mary",James Patterson,eBook,,$12.99, 9780755387199,2011-4-28,"'Headline', 'Digital original'",327
9780349419220,Someone to Trust,Mary Balogh,Paperback,$22.99,$20.40, 9780349419220,2018-11-27,"'Little Brown', '1'",400
9780141919959,Nineteen Eighty-Four,George Orwell,eBook,,$10.99, 9780141919959,2004-1-29,'Penguin Books Ltd',400
9780316252997,book not found,,,,, 9780316252997,,'Digital original',
9780141930183,Blink,Malcolm Gladwell,eBook,,$15.99, 9780141930183,,'Penguin Books Ltd',
9780297855897,book not found,,,,,,,,
9780553903102,The Orphan's Tales,Catherynne Valente,eBook,$10.27,$9.99, 9780553903102,2006-10-31,'1',
9780544084780,The Testing Guide,Joelle Charbonneau,eBook,,$4.99, 9780544084780,2013-5-1,'HarperCollins',
9780241983409,The Beautiful Summer,Cesare Pavese,eBook,,$15.99, 9780241983409,2018-6-7,'Penguin Books Ltd',112
9781529003314,Split Second,David Baldacci,Paperback,$19.99,$18.25, 9781529003314,2019-11-12,"'Pan Macmillan UK', '19.5 x 12.5 x 4.5'",608
9781409003175,Best ever recipes,Slimming World,eBook,,$21.99, 9781409003175,,'1',
9780241966068,The Separation,Dinah Jefferies,eBook,,$15.99, 9780241966068,,'Penguin Books Ltd',
9780857863430,Orlando,Virginia Woolf,eBook,$13.74,$11.99, 9780857863430,2012-1-5,'13',192
9780998151649,Cage of Deceit,Jennifer Anne Davis,eBook,,$0.00, 9780998151649,2019-6-19,'1',
9780748109272,Body Of Evidence,Patricia Cornwell,eBook,,$11.99, 9780748109272,2008-9-4,"'Little, Brown Book Group', 'Digital original'",400
9780670920501,What Are You Looking At?,Will Gompertz,eBook,,$16.99, 9780670920501,,'Penguin Books Ltd',
9780755118397,book not found,,,,, 9780755118397,,,
9780230752368,book not found,,,,,,,,
9780241965610,How to be Both,Ali Smith,eBook,,$15.99, 9780241965610,,'Penguin Books Ltd',
9780748109951,The Wasp Factory,Iain Banks,eBook,,$11.99, 9780748109951,,'Digital original',
9780575097476,Warbreaker,Brandon Sanderson,eBook,,$11.99, 9780575097476,,'Digital original',
9780544147775,Ruth's First Christmas Tree,Elly Griffiths,eBook,,$4.99, 9780544147775,2012-12-11,,
9780297864004,Caesar,Adrian Goldsworthy,eBook,,$17.99, 9780297864004,,'Digital original',
9780330461931,book not found,,,,, 9780330461931,,,
9780575104426,Dune Messiah,Frank Herbert,eBook,,$24.99, 9780575104426,2011-7-14,"'Orion', 'Digital original'",416
9780241986554,Agent Running in the Field,John le Carré,eBook,,$15.99, 9780241986554,,'Penguin Books Ltd',
9780241984642,I Looked Away,Jane Corry,eBook,,$15.99, 9780241984642,,'Penguin Books Ltd',
9781785760457,Exile,James Swallow,Paperback,$27.99,$25.40, 9781785760457,2018-4-24,"'Bonnier', '3.8 x 12.9 x 19.6'",576
9781400888023,The Moral Economists,Tim Rogan,eBook,$47.29,$37.99, 9781400888023,,'Princeton University Press',
9780241399378,Novacene,James Lovelock,eBook,,$16.99, 9780241399378,,'Penguin Books Ltd',
9781306863421,book not found,,,,, 9781306863421,,'US',
9780141907178,Scoop,Evelyn Waugh,eBook,,$15.99, 9780141907178,2012-5-31,'Penguin Books Ltd',240
9781405930819,The Darkness,Ragnar Jónasson,eBook,,$15.99, 9781405930819,2018-3-15,'Penguin Books Ltd',400
9781405913157,Natural Causes,James Oswald,eBook,,$15.99, 9781405913157,2012-11-22,'Penguin Books Ltd',400
9780761178668,"How to Care for Aging Parents, 3rd Edition",Virginia Morris,eBook,,$23.99, 9780761178668,,'3',
9780857208750,The Last Man,Vince Flynn,eBook,,$4.99, 9780857208750,2012-11-13,'Simon & Schuster UK',448
9780141912554,The Moon is Down,Donald Coers,eBook,,$15.99, 9780141912554,2000-11-30,'Penguin Books Ltd',144
9780316187169,New Joe Abercrombie Novel #1,Joe Abercrombie,Hardcover,,$51.75, 9780316187169,2019-9-17,'24.77 x 15.88 x 3.18',480
9781407020952,Silence Of The Grave,Arnaldur Indridason,eBook,,$15.99, 9781407020952,2008-12-26,'Random House',304
9780307796103,book not found,,,,, 9780307796103,2011-6-28,'1',
9780785171454,X-Men,Chris Claremont,eBook,$24.93,$20.99, 9780785171454,,,
9780755307500,Small Island,Andrea Levy,Paperback,$24.99,$21.75, 9780755307500,,"'GB', '3.8 x 13.1 x 19.8'",
9781407034935,Soul Music,Terry Pratchett,eBook,,$14.99, 9781407034935,2009-5-27,'Transworld',432
9780755349272,2nd Chance,James Patterson,Paperback,$22.99,$20.40, 9780755349272,2009-8-1,"'Headline', '1'",432
9780230772021,book not found,,,,,,,,
9781101201794,Andrew Carnegie,David Nasaw,eBook,$17.14,$13.99, 9781101201794,,,
9780241973288,The Good Liar,Nicholas Searle,eBook,,$15.99, 9780241973288,,'Penguin Books Ltd',
9781405934671,No Further Questions,Gillian McAllister,eBook,,$15.99, 9781405934671,,'Penguin Books Ltd',
9780748110087,Use of Weapons,Iain M. Banks,eBook,,$12.99, 9780748110087,2008-9-4,"'Little, Brown Book Group'",432
9780141930176,The Witches,Roald Dahl,eBook,,$9.99, 9780141930176,,"""Penguin Random House Children's UK""",
9781401937522,book not found,,,,, 9781401937522,,,
9780141946030,The Betrayal,Helen Dunmore,eBook,,$15.99, 9780141946030,,'Penguin Books Ltd',
9780553898415,Common Sense,Thomas Paine,eBook,,$3.99, 9780553898415,,,
9781301211227,Taunting Destiny,Amelia Hutchins,eBook,,$6.99, 9781301211227,2015-7-30,'2',
9780141913995,The Book of Chuang Tzu,Chuang Tzu,eBook,,$14.99, 9780141913995,,'Penguin Books Ltd',
9780748129232,Fingersmith,Sarah Waters,eBook,,$11.99, 9780748129232,,'Digital original',
9780141917986,Ways of Seeing,John Berger,eBook,,$14.99, 9780141917986,2008-9-25,'Penguin Books Ltd',176
9780748127726,"Life, Death and Vanilla Slices",Jenny Eclair,eBook,,$12.99, 9780748127726,,'Digital original',
9780297857884,Revolution 1989,Victor Sebestyen,eBook,,$19.99, 9780297857884,,'Digital original',
9780316252966,book not found,,,,, 9780316252966,,'Digital original',
9780857346568,book not found,,,,, 9780857346568,2012-9-1,"'2 - 3 years old', 'GB'",48
9781455550791,book not found,,,,, 9781455550791,2014-3-25,"'GRAND CENTRAL PUBL            ', '20.83 x 13.13 x 3.4'",512
9780989929158,book not found,,,,, 9780989929158,,,
9781473501539,The Blissful Baby Expert,Lisa Clegg,eBook,,$19.99, 9781473501539,,'1',
9781101625545,A Fall of Marigolds,Susan Meissner,eBook,$23.99,$19.99, 9781101625545,,'1',
9781405925679,Down to the Woods,M. J. Arlidge,eBook,,$15.99, 9781405925679,2018-9-20,'Penguin Books Ltd',368
9781281372048,book not found,,,,, 9781281372048,2006-1-1,"'Icon Books Limited', '2'",176
9781407071565,11th Hour,James Patterson,eBook,,$15.99, 9781407071565,2012-3-1,'Random House',496
9780241392102,"Love, Iris",Elizabeth Noble,eBook,,$15.99, 9780241392102,,'Penguin Books Ltd',
9780755128082,Soldiers Of The Queen,Max Hennessy,eBook,$8.79,$7.99, 9780755128082,2015-10-1,'1',366
9781405919319,Tom Clancy's Support and Defend,Mark Greaney,eBook,,$15.99, 9781405919319,2014-7-22,'Penguin Books Ltd',416
9780230741140,book not found,,,,,,,,
9780141975597,Feral,George Monbiot,eBook,,$15.99, 9780141975597,,'Penguin Books Ltd',
9780751540031,From the Dead,Mark Billingham,Paperback,$22.99,$20.40, 9780751540031,2011-5-31,"'Little Brown', '1'",496
9780241984581,The Killing Type,Jane Corry,eBook,,$0.00, 9780241984581,,'Digital original',
9780755378500,If You Were Me,Sheila O'Flanagan,eBook,,$11.99, 9780755378500,,'Digital original',
9780748124619,Pretty Little Liars,Sara Shepard,eBook,,$11.99, 9780748124619,2010-11-4,"'9 - 12 years old', '1'",256
9780753553947,Before We Was We,Mike Barson,eBook,,$15.99, 9780753553947,,'Ebury Publishing',
9781101984796,Christmas Bells,Jennifer Chiaverini,Paperback,,$44.75, 9781101984796,,"'Penguin Group USA', '1'",
9780807014288,book not found,,,,, 9780807014288,,,
9780307744920,The Fifth Queen,Ford Madox Ford,eBook,$17.14,$13.99, 9780307744920,2011-10-4,,
9780575095854,Red Country,Joe Abercrombie,eBook,,$12.99, 9780575095854,2012-10-18,'Orion',560
9780141915067,One Flew Over the Cuckoo's Nest,Ken Kesey,eBook,,$15.99, 9780141915067,2011-8-23,'Penguin Books Ltd',320
9780007283033,Provided You Don't Kiss Me,Duncan Hamilton,eBook,,$20.99, 9780007283033,,'HarperCollins Publishers',
9781407020358,Love,Toni Morrison,eBook,,$15.99, 9781407020358,,'Random House',
9780486113036,Macbeth,William Shakespeare,eBook,,$1.45, 9780486113036,2012-2-3,'Dover Publications',96
9781405529518,The Goldfinch,Donna Tartt,eBook,,$12.99, 9781405529518,,'Digital original',
9781401395421,Home,Julie Andrews,eBook,,$21.99, 9781401395421,,'Digital original',
9780283070891,book not found,,,,, 9780283070891,,,
9780748109685,Trace,Patricia Cornwell,eBook,,$11.99, 9780748109685,2008-9-4,"'Little, Brown Book Group', 'Digital original'",496
9780241308363,The Coddling of the American Mind,Jonathan Haidt,eBook,,$16.99, 9780241308363,,'Penguin Books Ltd',
9780571298716,The Wall,John Lanchester,eBook,$13.19,$11.99, 9780571298716,,'Faber & Faber',
9780134190563,"Go Programming Language, The",Alan A. A. Donovan,eText,,$61.25, 9780134190563,2015-11-16,'1',
9780648046219,The Brothers of Brigadier Station,Sarah Williams,eBook,,$0.99, 9780648046219,2017-8-9,"'Serenade Publishing', '1'",234
9780553904567,Persuasion,Jane Austen,eBook,,$3.99, 9780553904567,,,
9781119404514,The Little Book of Common Sense Investing,John C. Bogle,eBook,,$29.99, 9781119404514,2017-9-22,"'Wiley', '2'",304
9780141369778,Murder Most Unladylike,Robin Stevens,eBook,,$9.99, 9780141369778,2016-2-25,"'9 - 12 years old', '1'",352
9780141924601,Father Unknown,Lesley Pearse,eBook,,$15.99, 9780141924601,,'Penguin Books Ltd',
9780571341191,Girl,Edna O'Brien,eBook,$13.19,$11.99, 9780571341191,,'Faber & Faber',
9780141967318,Tempting Fate,Jane Green,eBook,,$15.99, 9780141967318,,'Penguin Books Ltd',
9780230741928,book not found,,,,, 9780230741928,,,
9780241983881,Measure What Matters,John Doerr,eBook,,$18.99, 9780241983881,,'Penguin Books Ltd',
9780358018971,Seeing Around Corners,Rita McGrath,eBook,,$26.99, 9780358018971,,,
9780571356515,Find Me,André Aciman,eBook,$16.49,$14.99, 9780571356515,,'Faber & Faber',
9780141924403,Percy Jackson and the Lightning Thief (Book 1),Rick Riordan,eBook,,$12.99, 9780141924403,2008-5-1,"'6 - 8 years old', '1'",384
9780141344751,The Demigod Diaries,Rick Riordan,eBook,,$14.99, 9780141344751,2012-9-6,"'9 - 12 years old', '6'",256
9781302453640,Star Wars Omnibus Knights of the Old Republic Vol. 1,John Jackson Miller,eBook,$29.33,$23.99, 9781302453640,,,
9780994105455,Forever Dreams,Leeanna Morgan,eBook,,$9.99, 9780994105455,2018-10-2,'1',
9780748125784,The Retribution,Val McDermid,eBook,,$11.99, 9780748125784,2011-9-1,"'Little, Brown Book Group', 'Digital original'",544
9780356500287,Fool Moon : Dresden Files,Jim Butcher,Paperback,,$20.40, 9780356500287,2011-5-5,"'Little Brown', '1'",341
9780241983027,The Water Cure,Sophie Mackintosh,eBook,,$15.99, 9780241983027,,'Penguin Books Ltd',
9781405913195,The Hangman's Song,James Oswald,eBook,,$14.99, 9781405913195,2014-2-27,'Penguin Books Ltd',400
9780141930459,Hornblower and the Hotspur,C.S. Forester,eBook,,$15.99, 9780141930459,2006-10-5,'Penguin Books Ltd',304
9781405932677,The Pioppi Diet,Dr Aseem Malhotra,eBook,,$14.99, 9781405932677,,'Penguin Books Ltd',
9780748112531,Eclipse,Stephenie Meyer,eBook,,$11.99, 9780748112531,2009-2-26,"'13+ years old', '3'",672
9780241295434,Dark Tales,Shirley Jackson,eBook,,$15.99, 9780241295434,2016-10-6,'Penguin Books Ltd',176
9781407035208,The Fifth Elephant,Terry Pratchett,eBook,,$15.99, 9781407035208,2008-9-4,'Transworld',464
9781302013677,Guardians Of The Galaxy Vol. 1,Brian Michael Bendis,eBook,$16.12,$12.99, 9781302013677,,,
9781405911351,The Unmarried Mother,Sheila Tofield,eBook,,$14.99, 9781405911351,,'Penguin Books Ltd',
9780718158293,Dani's Story,Diane Lierow,eBook,,$14.99, 9780718158293,,'Penguin Books Ltd',
9781405530668,book not found,,,,, 9781405530668,2015-8-6,"'Little, Brown Book Group'",400
9780748109357,Cruel And Unusual,Patricia Cornwell,eBook,,$11.99, 9780748109357,2008-9-4,"'Little, Brown Book Group', 'Digital original'",448
9780753541593,The Bracelet,Fredrica Alleyn,Paperback,$32.99,$26.95, 9780753541593,,"'GB', '13.1 x 20.7 x 2.4'",
9781407060736,Always Managing,Harry Redknapp,eBook,,$18.99, 9781407060736,,'1',
9781405525954,Tower Lord,Anthony Ryan,eBook,,$12.99, 9781405525954,2014-7-3,"'Little, Brown Book Group', 'Digital original'",624
9780857667809,The Traitor God,Cameron Johnston,Paperback,,$26.25, 9780857667793,2018-6-5,"'RANDOM HOUSE US', 'New edition'",432
9780575089372,Dead Until Dark : A True Blood Novel,Charlaine Harris,eBook,,$11.99, 9780575089372,2010-2-25,"'Orion', 'Digital original'",352
9781407035024,Feet Of Clay,Terry Pratchett,eBook,,$14.99, 9781407035024,2008-12-16,'Transworld',416
9780071771320,Crucial Conversations,Joseph Grenny,Paperback,$33.95,$21.75, 9781260474183,,"'US', '23.5 x 15.5 x 2.5'",
9780748109524,Scaredy Cat,Mark Billingham,eBook,,$11.99, 9780748109524,2008-9-4,"'Little, Brown Book Group', 'Digital original'",480
9780241324752,Margaret Thatcher,Charles Moore,eBook,,$19.99, 9780241324752,2019-10-3,'Penguin Books Ltd',880
9780385539265,book not found,,,,, 9780385539265,,'US',
9780751544831,Black Notice,Patricia Cornwell,Paperback,$22.99,$20.40, 9780751544831,2010-11-1,"'Little Brown', '1'",464
9780156033121,book not found,,,,,,,,
9781405918770,The Break,Marian Keyes,eBook,,$15.99, 9781405918770,,'Penguin Books Ltd',
9781101606605,book not found,,,,, 9781101606605,2013-1-15,'3',400
9780425285947,Dark Age,Pierce Brown,Hardcover,,$51.95, 9780425285947,2019-7-30,"'Del Rey Books', '23.5 x 15.5 x 5.5'",800
9780241967454,Last Man Off,Matt Lewis,eBook,,$16.99, 9780241967454,,'Penguin Books Ltd',
9780230763098,book not found,,,,,,,,
9780241978870,Three Daughters of Eve,Elif Shafak,eBook,,$15.99, 9780241978870,,'Penguin Books Ltd',
9780719811135,book not found,,,,, 9780719811135,,'1',
9780671036904,Iron Lake (20th Anniversary Edition),William Kent Krueger,eBook,,$14.99, 9780671036904,2000-1-1,'Atria Books',336
9780062358486,book not found,,,,,,,,
9780857382184,The Chessmen,Peter May,eBook,,$12.99, 9780857382184,2012-11-19,"'Quercus', '1'",400
9780241975909,The Silk Merchant's Daughter,Dinah Jefferies,eBook,,$15.99, 9780241975909,,'Penguin Books Ltd',
9780141958309,The Brightest Star in the Sky,Marian Keyes,eBook,,$15.99, 9780141958309,,'Penguin Books Ltd',
9780141393964,Things Fall Apart,Chinua Achebe,eBook,,$15.99, 9780141393964,2013-4-25,'Penguin Books Ltd',176
9780670922864,The Challenger Sale,Matthew Dixon,eBook,,$18.99, 9780670922864,,'Penguin Books Ltd',
